idnumber	Canonical_Smiles	Group
Z44507137	CCOC(=O)c1c(NC(=O)C(NCCC(C)C)c2ccccc2)scc1c3ccccc3	L1
Z17448404	CC1CCc2sc(cc2C1)C(=O)OCC(=O)Nc3cc(nn3c4ccccc4)c5ccccc5	L1
Z56839707	OC(=O)\C(=C/c1cn(nc1c2ccc(Cl)cc2)c3ccccc3)\NC(=O)c4ccccc4	L1
Z3687744268	CC(C)(C)OC(=O)N1CCCC(CC=C)(CC1)C(=O)NCC(NC(=O)c2cccc(c2)S(=O)(=O)N(CC=C)c3ccc(Cl)cc3)C(C)(C)C	L1
Z25687429	CCCCc1ccc(NC(=O)CN(c2ccc(cc2)C(=O)C)S(=O)(=O)c3ccc(C)cc3)cc1	L1
Z18382985	Cc1ccc(cc1)C(=O)c2ccccc2C(=O)OC(C(=O)c3c[nH]c4ccccc34)c5ccccc5	L1
Z18605091	COc1cccc(c1)N2C(=O)c3c4CCCCc4sc3N=C2SCC(=O)NCc5ccccc5	L1
Z28419859	CC(C)CCN1N=C(C(=O)Nc2nc(c3occc3)c(s2)c4occc4)c5ccccc5C1=O	L1
Z85935112	CCOC(=O)c1c(Cc2ccc(Cl)c(Cl)c2)c(\C=N\NC(=S)NCc3occc3)[nH]c1c4ccccc4	L1
Z27926149	CCCCCCN(C(=O)CC(NC(=O)c1ccccc1)c2ccccc2)c3nc4ccccc4s3	L1
Z30481406	CCCCc1ccc(NC(=O)c2cccc(c2)S(=O)(=O)N(CC=C)c3ccccc3)cc1	L1
Z1206368587	CCOC(=O)c1ccc2nc(C(=O)NCC3(O)CCCC3)n(Cc4ccc(cc4)c5ccccc5)c2c1	L1
Z260631394	CC1=NN(CC(=O)Nc2nc(c3ccc(C)cc3)c(s2)c4ccc(C)cc4)C(=O)c5ccccc15	L1
Z192781024	Cc1cccc2C(=O)N(CCCC(=O)Nc3nc(c4cccs4)c(s3)c5cccs5)C=Nc12	L1
Z104343180	Cc1ccc(cc1)S(=O)(=O)NCC(Sc2nnc(c3cccs3)n2C4CC4)c5ccccc5	L1
Z56940597	CCOC(=O)c1c(oc2ccc(NS(=O)(=O)c3c(C)cc(C)cc3C)cc12)c4ccccc4	L1
Z2379111256	COC(=O)CN(C(c1ccccc1)c2cc(Br)ccc2NS(=O)(=O)c3ccccc3C)S(=O)(=O)c4ccccc4C	L1
Z16502561	CCOC(=O)c1c(C)[nH]c(C(=O)OCC(=O)c2cc(C)n(CCc3ccc(Cl)cc3)c2C)c1C	L1
Z57054312	Cc1ccc(cc1)N2C(=O)\C(=C/Nc3sc4CCCCc4c3C(=O)NC5CC5)\c6ccccc6C2=O	L1
Z2858880292	CC(C)(C)OC(=O)N1CCCC(CC1)N(Cc2cc(cs2)C(=O)O)C(=O)OCC3c4ccccc4c5ccccc35	L1
Z44550720	Cc1ccc(NC(=O)c2sc3N=C(CN4CCC(=CC4)c5ccccc5)NC(=O)c3c2C)c(C)c1	L1
Z56770388	CCCCCC(CC)n1c(NC(=O)c2cccs2)c(C(=O)OCC)c3nc4ccccc4nc13	L1
Z56980023	CC(C)[C@H](NC(=O)c1ccccc1F)C(=O)OCC(=O)Nc2sc3CCCCc3c2C(=O)c4ccc(C)cc4	L1
Z19402616	CCCCNC(=O)COC(=O)c1c2CC\C(=C\c3cccs3)\c2nc4ccccc14	L1
Z21459780	CCOC(=O)c1c2CCC(C)Cc2sc1NC(=O)C(C)OC(=O)c3c4CCCCc4sc3NC(=O)C	L1
Z27039411	CCCCCCN1N=C(C(=O)NNC(=O)c2ccc(CSc3nc4ccccc4[nH]3)cc2)c5ccccc5C1=O	L1
